clause_text,clause_type
Purchaser will pay all costs allocated to Purchaser pursuant to Section 9.5 of this Agreement.,Costs
"This Agreement may be executed in counterparts, which together will constitute one instrument.",Counterparts
This Agreement may be executed in any number of counterparts.,Counterparts
"This Agreement may be executed in counterparts, each of which shall be an original.",Counterparts
"This Agreement may be executed electronically, by facsimile and in counterparts.",Counterparts
This Release may be signed electronically and in counterparts.,Counterparts
The Executive’s employment with the Company shall terminate automatically upon his death.,Death
The Contract Period shall end on the date of Employee’s death.,Death
"Upon the death of the Executive, the Executive’s employment with the Company shall terminate.",Death
The Executive’s employment with the Employer shall terminate upon the Executive’s death.,Death
Employee’s employment shall end on the date of Employee’s death.,Death
"For purposes of this Section, the term “Lender” includes any Issuing Lender.",Defined Terms
"For purposes of this Section 3.01 , the term “applicable Law” or “applicable Laws” includes FATCA.",Defined Terms
"For purposes of this Section 2.14 , the term “Requirement of Law” includes FATCA.",Defined Terms
"For purposes of this Section Taxes on Payments, the term “applicable law” includes FATCA.",Defined Terms
The definitions of capitalized terms used in this Agreement are provided in Section 16.,Defined Terms
The following terms shall have the following meanings for purposes of this Section 7.,Definitions
Capitalized terms used herein and not otherwise defined shall have the meanings given in the MIPA.,Definitions
"For purposes of this Note, the following capitalized terms have the following meaning.",Definitions
Capitalized terms that are not otherwise defined have the meanings set forth in the Agreement.,Definitions
"As used herein, the following terms have the following meanings.",Definitions
Permanent and total disability as defined in Code Section 22(e)(3).,Disability
Total and permanent disability as defined in Section 22(e)(3) of the Code.,Disability
Disability shall have the meaning ascribed to such term in the Plan.,Disability
Total and permanent disability as defined in Section 22(e)(3) of the Code.,Disability
Disability shall have the meaning ascribed to such term in the Plan.,Disability
Permanent and total disability as defined in Code Section 22(e)(3).,Disability
The Company is in compliance with its reporting obligations under Section 13 of the Exchange Act.,Disclosures
The Borrower shall furnish a copy of this Guaranty to the Lender at the closing of the Loan.,Disclosures
There are no material facts relating to the Assets that have not been disclosed to Buyer.,Disclosures
Each Participant shall be entitled to receive a copy of the Plan.,Disclosures
Each Participant shall be entitled to receive a copy of the Plan.,Disclosures
"On or prior to the Initial Borrowing Date, the Effective Date shall have occurred.",Effective Dates
"The amendment contemplated hereby shall be effective as of May 31, 2016.",Effective Dates
"The effective date of your new position will be July 21, 2015.",Effective Dates
"This Amendment Number Six shall become effective as of June 26, 2015.",Effective Dates
This Agreement shall be effective as of the Termination Date.,Effective Dates
"The Plan shall be effective as of May 16, 2016 (the “ Effective Date ”).",Effectiveness
This Agreement shall become effective only upon the occurrence of a Specified Termination Event.,Effectiveness
This Amendment shall be effective only on the date first written above.,Effectiveness
This Agreement shall become effective upon execution by the parties hereto.,Effectiveness
This Agreement shall become effective upon completion of the IPO.,Effectiveness
"During the Employment Period (as defined in Section 4 ), the Company shall employ Employee.",Employment
Executive’s employment with the Company is subject to the terms set forth herein.,Employment
"The Executive’s employment commenced on or about July 11, 2015.",Employment
Executive’s employment with the Company is subject to the terms set forth herein.,Employment
"The Executive’s employment commenced on or about July 11, 2015.",Employment
This Agreement constitutes the entire agreement of the parties with regard to the subjects hereof.,Entire Agreements
This Agreement constitutes the entire agreement of the parties with regard to the subjects hereof.,Entire Agreements
This Agreement constitutes the entire agreement of the parties with regard to the subjects hereof.,Entire Agreements
This Agreement constitutes the entire agreement of the parties with regard to the subjects hereof.,Entire Agreements
This Agreement constitutes the entire agreement of the parties with regard to the subjects hereof.,Entire Agreements
"Neither the Borrower nor Pangaea maintains any Plan, Multiemployer Plan or Foreign Pension Plan.",Erisa
"The Employee Retirement Income Act of 1974, as it may from time to time be amended or supplemented.",Erisa
[ . No Obligor or Subsidiary has any Multiemployer Plan or Foreign Plan. ] ; Foreign Plans.,Erisa
Seller shall violate the representations and warranties contained in Article 9(aa) (ERISA).,Erisa
"ERISA means the Employee Retirement Income Security Act of 1974, as amended from time to time.",Erisa
Preserve and maintain its existence and material rights and franchises.,Existence
Maintain its existence as a Delaware corporation and its authority to do business in New York State.,Existence
"Preserve and maintain such Loan Party’s separate existence and rights, privileges and franchises.",Existence
Maintain its existence as a Delaware corporation and its authority to do business in New York State.,Existence
"Preserve and maintain such Loan Party’s separate existence and rights, privileges and franchises.",Existence
Each Party shall be responsible for its own legal fees and expenses.,Expenses
Costs of administration of the terms and conditions of this Agreement will be paid by the Company.,Expenses
The expenses of administration of the Plan shall be paid by the Company.,Expenses
Borrower shall pay the Lender's legal fee of $750.00 upon execution of this Agreement.,Expenses
The costs and expenses of administering the Plan shall be borne by the Company.,Expenses
"Borrower will pay to Lender a fee of Five Thousand Dollars ($5,000.00) for this Ninth Waiver..",Fees
All fees required to be paid on the Closing Date pursuant to the Fee Letter shall have been paid.,Fees
The second sentence of Section 5.1 of the Agreement is hereby deleted.,Fees
The Purchasers' Expenses shall have been received by the Purchasers' counsel.,Fees
Client shall pay the fees set forth below for the Communicator Advantage Services.,Fees
Financial Statements ” shall have the meaning assigned to such term in Section 4.01(d).,Financial Statements
The Lead Arrangers shall have received the financial statements described in Section 5.05(a) .,Financial Statements
The DIP Agent shall have received the financial statements described in Section 3.04(a).,Financial Statements
All financial information requested by Lender with respect to Borrower and Guarantor.,Financial Statements
"A copy of the Original Financial Statements of each Borrower, HoldCo, and the Guarantor.",Financial Statements
"Restrictions ”) ,   until vested pursuant to Section 3 or 4.",Forfeitures
The Award shall be completely forfeited on the date of the Grantee’s termination of Employment.,Forfeitures
Any Performance Shares that are not earned pursuant to Section 4 shall be forfeited.,Forfeitures
The Award shall be completely forfeited on the date of the Grantee’s termination of Employment.,Forfeitures
Any Performance Shares that are not earned pursuant to Section 4 shall be forfeited.,Forfeitures
Article X of the Separation Agreement is hereby incorporated into this Agreement mutatis mutandi.,Further Assurances
This Amendment shall be subject to Section 5.9 of the Loan Agreement.,Further Assurances
Article X of the Separation Agreement is hereby incorporated into this Agreement mutatis mutandi.,Further Assurances
This Amendment shall be subject to Section 5.9 of the Loan Agreement.,Further Assurances
Article X of the Separation Agreement is hereby incorporated into this Agreement mutatis mutandi.,Further Assurances
This Amendment shall be subject to Section 5.9 of the Loan Agreement.,Further Assurances
The Committee shall develop a reasonable claims procedure.,General
"On the Effective Date, the Letter of Credit shall be deemed issued and outstanding hereunder.",General
"The Committee may, from time to time, grant one or more Awards to one or more Eligible Persons.",General
The Performance Cash shall vest in accordance with Section II of the Performance Cash Agreement.,General
Your title shall be Chief Human Resources Officer.,General
THIS AGREEMENT SHALL BE GOVERNED BY THE LAWS OF THE STATE OF NEW YORK.,Governing Laws
This Agreement shall be construed under the laws of the State of Kansas.,Governing Laws
THIS WAIVER SHALL BE GOVERNED BY THE INTERNAL LAW OF THE STATE OF TEXAS.,Governing Laws
The Plan shall be governed by the laws of the State of Delaware.,Governing Laws
This Agreement shall be governed by and construed in accordance with the laws of Pennsylvania.,Governing Laws
Headings in this Agreement are included for ease of reference only and shall have no legal effect.,Headings
Section headings herein are for convenience only and shall not affect the construction hereof.,Headings
"Paragraph headings used herein, are for convenience only and do not constitute part of this Lease.",Headings
Headings are for purposes of convenience only and do not constitute a part of this Agreement.,Headings
The headings used in this Agreement are for convenience only and are not a part of this Agreement.,Headings
Asta will indemnify the Executive as provided in Asta’s Bylaws.,Indemnifications
Company has no contract under which Company has agreed to indemnify any third party in any manner.,Indemnifications
Tax Benefit ” shall have the meaning assigned to it in Section 8.3(d) .,Indemnifications
Company has no contract under which Company has agreed to indemnify any third party in any manner.,Indemnifications
Tax Benefit ” shall have the meaning assigned to it in Section 8.3(d) .,Indemnifications
"Collateral "" shall have the meaning provided in Section 14.5(a) .",Indemnity
"Collateral "" shall have the meaning provided in Section 14.5(a) .",Indemnity
"Collateral "" shall have the meaning provided in Section 14.5(a) .",Indemnity
"Collateral "" shall have the meaning provided in Section 14.5(a) .",Indemnity
"Collateral "" shall have the meaning provided in Section 14.5(a) .",Indemnity
"The Parties will maintain insurance as provided in Section 10,6 of the LCA.",Insurances
The Corporation does not maintain any insurance policies.,Insurances
The Company shall not materially reduce the insurance coverages described in Section 4.20.,Insurances
The Borrower shall be in compliance with all of its obligations under Section 10.6 .,Insurances
Borrower’s failure to maintain insurance as required under Section 3.1 of this Agreement.,Insurances
This Agreement constitutes the full and complete agreement of the Parties.,Integration
Schedule 3.1(j) has been Delivered by the Seller to Buyer’s counsel.,Intellectual Property
Schedule 3.1(j) has been Delivered by the Seller to Buyer’s counsel.,Intellectual Property
Schedule 3.1(j) has been Delivered by the Seller to Buyer’s counsel.,Intellectual Property
Schedule 3.1(j) has been Delivered by the Seller to Buyer’s counsel.,Intellectual Property
Schedule 3.1(j) has been Delivered by the Seller to Buyer’s counsel.,Intellectual Property
(a) The Loans comprising each ABR Borrowing shall bear interest at the Alternate Base Rate.,Interests
No interest will accrue on the payroll deductions of a Participant in the Plan.,Interests
Accrued interest on this Note shall be payable on the Maturity Date.,Interests
Interest will accrue and be payable in full on the Maturity Date.,Interests
(a) Base Rate Tranches shall bear interest at the Alternate Base Rate plus the Applicable Rate.,Interests
Any ambiguity in this Addendum shall be resolved to permit the parties to comply with HIPAA.,Interpretations
This Amendment is a Loan Document for the purposes of the Credit Agreement.,Interpretations
References to decisions by the Company will be made by the Board or the applicable Board committee.,Interpretations
"In the event of any conflict between this Agreement and the Plan, the Plan shall control.",Interpretations
This Agreement is a “Loan Document” for the purposes of the Credit Agreement.,Interpretations
"Section 9.15 of the Loan Agreement is hereby incorporated herein by reference, mutatis mutandis .",Jurisdictions
"Section 11.10(b), (c) and (d) of the Credit Agreement are incorporated herein mutatis mutandis .",Jurisdictions
"Section 9.15 of the Loan Agreement is hereby incorporated herein by reference, mutatis mutandis .",Jurisdictions
"Section 11.10(b), (c) and (d) of the Credit Agreement are incorporated herein mutatis mutandis .",Jurisdictions
"Section 11.10(b), (c) and (d) of the Credit Agreement are incorporated herein mutatis mutandis .",Jurisdictions
"All existing liens, as referenced in Paragraph 4 above, must be satisfied at Closing.",Liens
"The Collateral is not subject to any Lien, except Permitted Liens.",Liens
MBE Holdings has marketable title to all of its assets and properties free and clear of any lien.,Liens
Authority of Administrative Agent to Release Collateral and Liens .,Liens
"Create, incur or suffer to exist any Lien on any of its assets other than Permitted Liens.",Liens
To promptly give notice in writing to Bank of any litigation pending or threatened against Borrower.,Litigations
To promptly give notice in writing to Bank of any litigation pending or threatened against Borrower.,Litigations
To promptly give notice in writing to Bank of any litigation pending or threatened against Borrower.,Litigations
To promptly give notice in writing to Bank of any litigation pending or threatened against Borrower.,Litigations
To promptly give notice in writing to Bank of any litigation pending or threatened against Borrower.,Litigations
(a) The Landlord’s Work shall be performed by Landlord in a good and workmanlike manner.,Miscellaneous
The Parties agree to comply with the provisions of Schedule 6.03 .,Miscellaneous
This Agreement shall be governed by the laws of the State of South Carolina.,Miscellaneous
Article 15 of the LLC Agreement shall apply mutatis mutandis to this Amendment.,Miscellaneous
This Certificate shall be governed by the laws of the State of Georgia.,Miscellaneous
This Lease may be only be modified by a writing signed by both Lessor and Tenant.,Modifications
This Agreement may not be modified except by the written agreement of the Parties.,Modifications
This Agreement may be only be modified by a writing signed by both Lessor and Tenant.,Modifications
Identify the modification number for the contract if applicable.,Modifications
This Amendment may not be amended except by a written amendment signed by all of the parties hereto.,Modifications
No Default or Event of Default presently exists and is continuing.,No Defaults
No Default or Potential Default has occurred and is continuing.,No Defaults
No Default shall exist or would result from this Amendment on the Second Amendment Effective Date.,No Defaults
No Default or Event of Default shall be continuing as of the Ninth Amendment Effective Date.,No Defaults
Neither a Default nor an Event of Default shall have occurred and be continuing.,No Defaults
A Trigger Event shall be deemed to be continuing unless expressly waived by Buyer in writing.,No Waivers
An Event of Default shall be deemed to be continuing unless expressly waived by Buyer in writing.,No Waivers
A Trigger Event shall be deemed to be continuing unless expressly waived by Buyer in writing.,No Waivers
An Event of Default shall be deemed to be continuing unless expressly waived by Buyer in writing.,No Waivers
An Event of Default shall be deemed to be continuing unless expressly waived by Buyer in writing.,No Waivers
Invoices shall be sent in accordance with Section 26.,Notices
Notices hereunder shall be mailed or delivered as specified in the Program.,Notices
Notices shall be given under this Agreement in the manner set forth in the Loan Agreement.,Notices
The Borrower shall have given notice of borrowing as required by Section 2.1 .,Notices
All notices shall be made in accordance with Section 14.03 of the Indenture.,Notices
The Seller is a corporation organized and validly existing under the Laws of Delaware.,Organizations
"The Buyer is a California corporation located in San Diego, California.",Organizations
Each Purchaser is duly organized and existing in good standing in its jurisdiction of organization.,Organizations
The Seller is a corporation organized and validly existing under the Laws of Texas.,Organizations
"The Company is duly authorized, validly existing, and in good standing under the laws of Delaware.",Organizations
A Director shall remain a Participant until his or her Account has been fully distributed.,Participations
Payments .  All amounts due under this Section 14.2 shall be payable promptly after demand therefor.,Payments
TIME IS OF THE ESSENCE WITH RESPECT TO ANY PAYMENTS DUE TO THE MANAGER UNDER THIS AGREEMENT.,Payments
Punctually pay when due all sums which may be due under the Loan Documents.,Payments
Default. Grantor fails to make any payment when due under the Indebtedness.,Payments
All payments under this Note shall be made in lawful tender of the United States.,Payments
"Employee shall be employed as Vice President and General Manager, Travelzoo Local.",Positions
Executive shall be the Company’s Senior Vice President and Chief Financial Officer.,Positions
Executive shall have the title appearing in the signature page of this Agreement.,Positions
Chief Executive Officer and President. Executive shall report in such capacity to the Board.,Positions
Chief Executive Officer and President. Executive shall report in such capacity to the Board.,Positions
An Officer need not be a Member or Manager. Any number of offices may be held by the same Person.,Qualifications
"Purchaser is, or as of the Closing will be, qualified under all applicable Laws to own the Assets.",Qualifications
An Officer need not be a Member or Manager. Any number of offices may be held by the same Person.,Qualifications
"Purchaser is, or as of the Closing will be, qualified under all applicable Laws to own the Assets.",Qualifications
"Purchaser is, or as of the Closing will be, qualified under all applicable Laws to own the Assets.",Qualifications
Supplier shall maintain a Device History Record (“DHR”) for all products delivered to Company.,Records
The Committee will keep or cause to be kept accurate and complete books and records.,Records
Each Grantor comply with Section 5.06 of the Credit Agreement as if it were a party thereto.,Records
The Committee will keep or cause to be kept accurate and complete books and records.,Records
Each Grantor comply with Section 5.06 of the Credit Agreement as if it were a party thereto.,Records
The Technical Agreement contains provisions relating to the release of Kits.,Releases
"For avoidance of doubt, this Agreement is subject to Section 11.21 of the Credit Agreement.",Releases
Expiration Date ” shall have the meaning set forth in Section 23(c).,Releases
"The parties agree to the provisions set forth on Exhibit B, which are incorporated herein.",Releases
The term “Release” shall have the meaning set forth in the Employment Agreement.,Releases
The representations and warranties of the Sellers to the Buyer are as set forth in this Section 4.,Representations
The Purchaser makes the following representations and warranties to the Seller and the Company.,Representations
Purchaser represents and warrants to the Company as follows.,Representations
GP represents and warrants to the Company as set forth below.,Representations
Holder hereby makes the following representations and warranties to the Company.,Representations
Any sale of any portion of the Trust Estate pursuant to Section 8.15 .,Sales
"None, except transactions permitted by Section 8.8  of the Credit Agreement.",Sales
"Enter into Sale and Leaseback Transactions which, in the aggregate, exceed $3,000,000.",Sales
Any sale of any portion of the Trust Estate pursuant to Section 8.15 .,Sales
"None, except transactions permitted by Section 8.8  of the Credit Agreement.",Sales
The provisions of this Agreement are non-severable.,Severability
The provisions of this Agreement are non-severable.,Severability
The provisions of this Agreement are non-severable.,Severability
The provisions of this Agreement are non-severable.,Severability
The provisions of this Agreement are non-severable.,Severability
The Borrower and its Subsidiaries (on a consolidated basis) are Solvent.,Solvency
"The Borrower is, individually and together with its Subsidiaries, Solvent.",Solvency
The Borrower is (on a consolidated basis) Solvent.,Solvency
Each Borrower and each Significant Subsidiary is Solvent.,Solvency
"Borrower is Solvent. Borrower is, together with its Subsidiaries on a consolidated basis, Solvent.",Solvency
Section 10.15 of the Credit Agreement is hereby incorporated by reference.,Submission To Jurisdiction
Section 10.15 of the Credit Agreement is hereby incorporated by reference.,Submission To Jurisdiction
Section 10.15 of the Credit Agreement is hereby incorporated by reference.,Submission To Jurisdiction
Section 10.15 of the Credit Agreement is hereby incorporated by reference.,Submission To Jurisdiction
Section 10.15 of the Credit Agreement is hereby incorporated by reference.,Submission To Jurisdiction
"On and as of the Closing Date, the Borrower has no Subsidiaries.",Subsidiaries
"Except as set forth on Schedule 4.16, no Credit Party has any Subsidiaries.",Subsidiaries
Schedule 4.1(e) of this Agreement is true and correct.,Subsidiaries
Each Credit Party other than the Company is a Subsidiary of the Company.,Subsidiaries
The Company’s Subsidiaries are set forth on Schedule 4.19 hereto.,Subsidiaries
This Agreement shall be binding upon the parties and their respective permitted assigns.,Successors
"The provisions of this Agreement shall be binding upon all parties, their successors and assigns.",Successors
This Guaranty is binding upon any successor to Guarantor.,Successors
All agreements of the parties in this Termination Agreement shall bind their respective successors.,Successors
This Release shall be inure to the benefit of the successors and assigns of Employer.,Successors
"Sections 5, 6 and 11 shall survive termination of this Agreement.",Survival
The provisions of this Section 9 shall survive the termination of this Agreement.,Survival
The provisions of this Section 7 shall survive any termination or expiration of this Agreement.,Survival
The provisions of this Section 16 shall survive the Closing without limitation.,Survival
The terms of this Article 9 shall survive the Closing or earlier termination of this Agreement.,Survival
The payments under this Agreement shall be subject to applicable tax withholding.,Tax Withholdings
All payments made pursuant to this Agreement are subject to all applicable tax withholdings.,Tax Withholdings
This Award will be subject to all applicable taxes as provided in Section 14(d) of the Plan.,Tax Withholdings
This Award will be subject to all applicable taxes as provided in Section 14(d) of the Plan.,Tax Withholdings
Payment of Dividend Equivalents is subject to required tax withholding.,Tax Withholdings
"(a)  For purposes of this Section 2.20 , the term “applicable law” includes FATCA.",Taxes
All payments under this Agreement shall be subject to applicable tax withholding.,Taxes
"(a) For purposes of this Section 2.20 , the term “applicable law” includes FATCA.",Taxes
"(a) Defined Terms.  For purposes of this Section 3.1 , the term “applicable law” includes FATCA.",Taxes
All Taxes due and payable by Seller with respect to the Assets have been paid in full.,Taxes
The provisions of this Section 7 shall apply during the Term of Employment.,Terminations
Executive’s employment from the Company terminated on [DATE].,Terminations
Executive’s employment from the Company terminated on (the “Termination Date”).,Terminations
(a) Unless previously terminated the Commitments shall terminate on the Maturity Date.,Terminations
This Warrant shall terminate upon the Expiration Date.,Terminations
"The Award is subject to all the terms and conditions of the Tyson Foods, Inc.",Terms
The Company shall continue until terminated in accordance with Section  8.1 .,Terms
This Guaranty shall continue until the Guaranteed Obligations have been paid and performed in full.,Terms
"This Warrant and all rights hereunder shall expire on the 25 th day of September, 2026.",Terms
"The term of this Agreement shall continue through December 31, 2016.",Terms
"Your title, subject to Board approval, will be Vice President and General Counsel.",Titles
Chief Financial Officer (CFO) and Chief Accounting Officer (CAO).,Titles
Ascena will employ Executive as its Chief Executive Officer.,Titles
Your title will be Senior Vice President and Chief Financial Officer.,Titles
"On the Commencement Date, Seller and PNC shall execute and deliver to each other the Bill of Sale.",Titles
Each Borrower will use the proceeds of the Loans only as provided in Section 8.08 .,Use Of Proceeds
The Borrower will use the proceeds of the Term Loans in compliance with Section 5.10 .,Use Of Proceeds
The proceeds of the Term Loans shall be utilized for general corporate purposes.,Use Of Proceeds
The Borrowers will use the proceeds of the Loans only as provided in Section 8.08 .,Use Of Proceeds
The Company shall use the proceeds for any and all general working capital purposes.,Use Of Proceeds
You will be eligible for accrual of four (4) weeks of vacation annually.,Vacations
The Employee shall be entitled to up to three (3) weeks of vacation per year.,Vacations
Executive shall be entitled to four (4) weeks of vacation for each   full year.,Vacations
The Executive is entitled to paid time-off (“ PTO ”) as outlined in the Company’s personnel policy.,Vacations
All salary and accrued vacation (if any) earned through the Termination Date.,Vacations
SECTION 12 OF THE CREDIT AGREEMENT IS INCORPORATED HEREIN BY REFERENCE MUTATIS MUTANDIS .,Venues
Section 12 of the Credit Agreement IS incorporated herein by reference MUTATIS MUTANDIS .,Venues
Section 12 of the Agreement is incorporated herein by reference mutatis mutandis .,Venues
Section 12 of the Credit Agreement IS incorporated herein by reference MUTATIS MUTANDIS .,Venues
Section 12 of the Agreement is incorporated herein by reference mutatis mutandis .,Venues
The Restricted Shares shall vest as of the date of grant.,Vesting
A Participant shall always be 100% vested in the amounts credited to his Account hereunder.,Vesting
A Participant shall at all times be one hundred percent (100%) vested in his or her Account Balance.,Vesting
